-38.05	-14.74113265	2.774708656	4.898441079	0	0
-47.94	-14.15354969	-4.967598142	4.374842303	0	0
-58.66	-9.77353451	-11.37884103	3.851243527	0	0
-46.8	-2.774708656	-14.74113265	3.327644752	0	0
-36.44	4.967598142	-14.15354969	2.804045976	0	0
-45.48	11.37884103	-9.77353451	2.280447201	0	0
-59.17	14.74113265	-2.774708656	1.756848425	0	0
-48.4	14.15354969	4.967598142	1.233249649	0	0
-38.35	9.77353451	11.37884103	0.709650874	0	0
-48.64	2.774708656	14.74113265	0.186052098	0	0
-59.05	-4.967598142	14.15354969	-0.337546677	0	0
-46.53	-11.37884103	9.77353451	-0.861145453	0	0
